found_helpfuls,names,product_link,product_name,ratings,review_contents,titles,user_links
0,Maria s,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,3.0 out of 5 stars,"<span>I love this book and so i ordered it for my child, but when i received it it was a small boardbook. The paperback size id soooo much better for reading amd for the illustrations.</span>",Got the boardbook instead of paperback too small,/gp/profile/amzn1.account.AECURJZGMUKPAIE2HCGMARBYT4MA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Natasha,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>My toddler son loves this book! I love that it helps with his learning to count! It's just a cute simple story that's fun and educational. Perfect choice for my 2 year old!</span>,I love that it helps with his learning to count,/gp/profile/amzn1.account.AE2JWF5WMTVUA65MXP3AD4M3NWSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,C. Solar,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,3.0 out of 5 stars,<span>The book is way smaller than I had anticipated and had to get the bigger version for a baby shower gift.</span>,Not what I expected,/gp/profile/amzn1.account.AGBNCBUJYZXW22OLFQKN2WDZTTTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,BayAreaChris,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>This book is super cute. My child loves looking at the beautiful pictures. I would recommend this book. Thank you.</span>,Love this book!,/gp/profile/amzn1.account.AFS3TWUDM4K4RCOWPP2R7QWIOL3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Lukasz Cerazy,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,"<span>We got this as a gift for the baby of our friends and she loved it. We got it along with a butterfly stuffed toy, which was a nice way of tying it together.</span>",A classic,/gp/profile/amzn1.account.AHAKEP23XNOCHMZSXGVFQRDYL3VA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,CLC,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,4.0 out of 5 stars,"<span>The story and pictures are great. I didn't catch the ""miniature edition"" when I ordered so it is a bit small for my tired eyes but my child enjoys it.</span>","The story and pictures are great. I didn't catch the ""miniature edition"" when I ...",/gp/profile/amzn1.account.AF3QQ4Z4KJY7YETSISDYQ6VN7TAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Bailey Rose,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>My son adores insects and the like so it isn't any wonder that he would love this book as a child. It was one of his favorites and I repurchased it for future grandchildren.</span>,Overall Super Book,/gp/profile/amzn1.account.AHWOAZAYYM2S3RJRNKWTPAEFIT2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Sam,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,"<span>Great all time children's book, sturdy hardcover. It was a great present to add to her book collection. Speedy delivery.</span>",For niece,/gp/profile/amzn1.account.AFC2IP5QD3U6COCT3FU5VUP55GZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,SooLi,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,"<span>Love this caterpillar book. Nice drawing and managed to draw my boy's attention, He will flip the page to find the butterfly/cocoon when i asked him where is the butterfly and cocoon</span>",Nice book for baby,/gp/profile/amzn1.account.AF3H3VRSKY35I622LT4GGGHFOM4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Megan Foley,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,"<span>Excellent product quality, fast delivery, and accurate product description. I'm very pleased with my purchase and recommend buying from this seller.</span>",Very Pleased,/gp/profile/amzn1.account.AHGPY4KLVW6GUBTZ5I3SXWJUX74Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,mirna bonilla,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,"<span>Can in on time and in perfect conditions. Bought this to read to my one year old, plus my husband and i remember this book when we were kids ourselves. Real happy.</span>",Our childhood book and now our sons!,/gp/profile/amzn1.account.AH6GKK4ZTJELN5THFD7NN3G24F7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Margaret A Donohue,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,"<span>After reading this book, to a set of sextuplets, they began to ask for Eric Carle's books every time I arrived at their door!</span>",The first Eric Carle story I ever read to the sextuplets,/gp/profile/amzn1.account.AHIPMMSCQN5CLPTX3HCKMCMJM5XQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,M. Sage,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>I bought this book for a baby shower.  Board books are great for babies and Eric Carle is one of my favorite authors.</span>,Board Books for Babies!,/gp/profile/amzn1.account.AHJTRKND7YSCYHNYP34ZQWNC673A/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Melissa marie,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,3.0 out of 5 stars,<span>the book was much smaller and a little more beat up than I was expecting but all in all a good buy especially for a book to bring in the car.</span>,... than I was expecting but all in all a good buy especially for a book to bring in the ...,/gp/profile/amzn1.account.AFVOSFNFM3IPBQJJABK5QG6N45TA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,NYC person,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,1.0 out of 5 stars,<span>It says it might have some signs of wear. It was really dirty and slimy. I've washed my hands and pushed it back in the envelope with a napkin and taped it. Sending it back.</span>,not this time,/gp/profile/amzn1.account.AHQJX62TEOB4LQVIUSHZY3HTWOIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,A. Schottenstein,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>Great counting book! Also great way to learn about the life cycle of caterpillar in simple terms as well as learn about types of fruit and the names of a few other foods. My toddler never tires of this book.</span>,Great counting book,/gp/profile/amzn1.account.AHYWSVL5BESPHD6SVARJMKOLAGLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Mama,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,"<span>This is the classic tale, but a huge (8x11?) size, yet still a thick, heavy duty board book. We had party guests sign it as a keepsake.</span>",Huge version!,/gp/profile/amzn1.account.AHRWB7ZLMZ5JCK7EBJPEGHPOLCAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Melissa A. Lopez,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>My first encounter with Eric Carle and still my favorite. I love the unique illustrations and the charming story. It gives my child and I something beautiful to spark our interest and give us something to talk about and laugh about in the end. This is so cute! I give it as a baby shower gift all the time.</span>,Charming,/gp/profile/amzn1.account.AFTGCXABGALXHICVWPMC4B2W62IA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Norma F. Wahlquist,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>This book was in the wish list of a friend so I bought it for her shower.  She was happy to get it!</span>,Cute book for children!,/gp/profile/amzn1.account.AFGBTHUE6PEUNXOLPZV4WSB7Y42Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,LAD,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,"<span>Who doesn't love this book?? The ""interactive"" nature of the pages as the caterpillar chews through the foods is exciting for children and the images are gorgeous!</span>",Who doesn't love this book,/gp/profile/amzn1.account.AGHHIR35QUCADKKFELX546YLTPUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Kristen,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>Love this book. Bought it for a friend having twins. Can't wait to give it to her. The board books are such a nice gift that will grow with the babies as they become toddlers.</span>,Love this book,/gp/profile/amzn1.account.AF4PMMFC6OKMJADN3PGSZV5UQYWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Linny05,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>This is a classic book for any kid.  This version has the little finger holes to help show how he's eaten through all the food.</span>,Classic book,/gp/profile/amzn1.account.AGI6OVW7OTSY3CX2JSPK2KL2PECQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Kindle Customer,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,"<span>This has been one of my son's favorite books since he was about 11 months old. The flaps and colorful pictures (and animations by his awesome mom!) make for a captivating read even for young listeners. A classic, for sure!</span>",One of my son's favorite books!,/gp/profile/amzn1.account.AEBCHV2MJVFDV5BS3RFHWW5PTRJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Stacey,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,2.0 out of 5 stars,<span>I purchased this--my mistake was that it was the mini version.  This book is sooo small that you need a magnifying glass to see the print. I tried to read it to my son but he wasn't interested in it.</span>,I purchased this--my mistake was that it was the mini ...,/gp/profile/amzn1.account.AHTRILDPPC2PDXOV4OHDF2MMXM5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,heatherk,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,3.0 out of 5 stars,<span>We love this book and I try to recycle by buying used but the description misled us a bit as it was to be in good used condition but a page in the book is nearly gone...luckily my daughter knows this story by heart.</span>,We love this book and I try to recycle by buying ...,/gp/profile/amzn1.account.AG4QUAKDHOSVBIKP3GAFBALM75XA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,grasshopper,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,4.0 out of 5 stars,<span>Our favorite book...in mini.<br>Fits nicely in the diaper bag and will be useful on trips...but it is (as described) quite small.</span>,Surprisingly small,/gp/profile/amzn1.account.AEX5C4XSN3BBPQTL4U2NGQTPJFSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,IKindle Customer,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>My now 6 year old going on 7 this year still loves it! Sometimes he listens to the audio and at other times he listens to the audio and follows the story in his book.</span>,Wonderful Story,/gp/profile/amzn1.account.AG352EPZA57XRB4KVJWZMIDQK6EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,barbara r,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>I purchased the book for my grand-children and my daughter (31 years old first time mom) loves the book. She said it reminds her when she was little. A wonderful classic.</span>,A must for your library,/gp/profile/amzn1.account.AGFEUO5CUHFOHSJWPWBD7ERKZLOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Tabitha,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,"<span>My one year old daughter and her cousins love this book. I let them put their finger in the little holes where the catapult bites the food, and they love it!</span>",My one year old daughter and her cousins love this book,/gp/profile/amzn1.account.AHZAUW2DCH6EZMU5WREVLIHTM4GQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Meeta S,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>Absolutely love the book! My son and I read this along with the lonely firefly every night. Eric Carle is one of our favorite writers.</span>,A must have for every kid!,/gp/profile/amzn1.account.AFZCBVNYDWKIBAUQA65ETRPZIPZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Island Girl,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,"<span>This is a small version of my all-time childhood favorite book.  Although small, the quality of the book is high.  The pages are super thick and the graphics are sharp.</span>",This is a small version of my all-time childhood favorite book. Although small,/gp/profile/amzn1.account.AHONFCXW45XVBNY5XGHR3PC5KOXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Sandra Behn,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,"<span>This is a children's classic. Very good for a first picture book for kids. It covers days of the week, counting, a the life cycle of a butterfly.</span>",Great First Picture Book,/gp/profile/amzn1.account.AGXGOOTCUZPF3676766BRU72V3JQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Barbara J. Kuehn,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>I know you will have fun reading with them as I have with my grandson.  He looks forward to reading the story over and over again.</span>,Enjoy This Hungry Critter With The Little Ones,/gp/profile/amzn1.account.AEZBB2JZ2ZGIK64WFDQ7JZNGEHYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,D. Tex,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,"<span>What an adorable book. It made me laugh out loud. The only negative is the use of the word fat, which is a term we try to avoid. But we just replace it with stuffed.</span>",a must for your child's library. Parents will like it too.,/gp/profile/amzn1.account.AF5EKZKADJQWQL5YIUMPNXELYGRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Kindle Customer,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,"<span>My granddaughter loves this book and I read it to her every<br>week when I babysit<br>She has over 200 books now, but this is the one she  pulls<br>off the shelf!!</span>",Wonderful book for children,/gp/profile/amzn1.account.AFYQI24BQIHT4KAZHTTZ5A2MNOOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
1,Counselor in Training,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>This is a great story for little ones!  The color graphics are wonderful.<br>All of Eric Carle books are amazing.</span>,great,/gp/profile/amzn1.account.AH7IYHXYE5KD2YNL4YTI3FEFBDXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Josephine Clifford,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>I like the size of the book. I is meant as a gift to a young friend. I remember the story being liked very much by the kids in my preschool</span>,the very hungry caterpillar,/gp/profile/amzn1.account.AHNPJM37VEE7JUPPRRF7QMCYHLXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,TJ,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>One year old nephew loves this book!  Goes to bed every night clutching it begging mom n dad to read it to him!</span>,Favorite book of my 1 year old nephew!,/gp/profile/amzn1.account.AHN23MS2RPVNPXO7RIW3K7JLPI4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,MamaBear27,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>had this when i was a little kid &amp; now im passing it onto my son (&amp; future children). its a cute story</span>,classic,/gp/profile/amzn1.account.AES4PXNYJPSVV2Y6MYQFC3VUU3FQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Tlarson,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>Several of my senior friends had never heard of this book.  I shared it with them and even a 93 year old thought it was cute.</span>,Great book for all ages,/gp/profile/amzn1.account.AERMFPS44DRWU3MEFNBJEWT2Y2ZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Satisfied User,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>Entertaining story about a butterfly's life.  Our grand children thoroughly enjoyed reading this story with all its colorful pictures throughout the book.</span>,Great Book,/gp/profile/amzn1.account.AF2N737N32X4IQ4QHRQ7NPFW6HTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,ShannonStewart,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,3.0 out of 5 stars,"<span>I didn't love this book, but I didn't hate it either. I don't think my son found it too interesting though. Maybe he will later when he gets older?!</span>",It's ok,/gp/profile/amzn1.account.AFTWBQOUKXJGHLD5QPFFS4DULRXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,paislie98,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,3.0 out of 5 stars,"<span>This was a cute little book but since it is so small, it makes the pages where where the caterpillar eats the food, hard to turn.</span>",They mean miniature!,/gp/profile/amzn1.account.AEU746VRH7PNWUZECKFOVDFYMLWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Brittany,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,2.0 out of 5 stars,"<span>The book was really small when it arrived. Not what I expected at all. It's still nice, but still small.</span>",the book is too small,/gp/profile/amzn1.account.AHNOQOOTOLL7TLKXHELO3AM3NN5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Michelle Lauricella,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,4.0 out of 5 stars,<span>I bought this for my 2 year old niece. It is a great book and one everyone should read when their a kid.</span>,Perfect bOok,/gp/profile/amzn1.account.AEDJUHCVU65MGW3MBAKIFRJZ3UXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Miss Aoe,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>I am addicted to all things ERIC CARLE. I love his book...the concepts are simply and the books are colorful. Couldn't ask for anything more.</span>,Addicted...,/gp/profile/amzn1.account.AHEADCX4KWKBKSBZZ52OA5AWKTIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,S. Pickle,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,"<span>Great gift, sweet book, this book was purchased along with the hungry caterpillar jack in the box for my 7 month old sweet grandson.</span>",Love this book,/gp/profile/amzn1.account.AEAX25LM7S63BZXHVAIEKX6IH4ZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Charity Moore,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,"<span>I love this product!! I read it all the time, even though I am in college. It's a handy size and my roommates love storytime.:)</span>",hungry caterpillar,/gp/profile/amzn1.account.AH2RK6OPWOLRP3NM5R5HBX65OSHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Mami,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>This product was delivered exactly as I expected. I am very happy with this item and look forward to giving it as a gift.</span>,Great,/gp/profile/amzn1.account.AGW3XPTBM6XKU4KHDPS6TSXIR5OA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,TwitteryBat727,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,3.0 out of 5 stars,"<span>Great book, but it's smaller than my hand. Not really expecting it to be so small pages look like it was rushed when made.</span>",Tiny,/gp/profile/amzn1.account.AEMFZ5NQF7T6T2B4A3KVANXSKBOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,CL,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,3.0 out of 5 stars,"<span>Good book. Small enough for a diaper bag, etc. Font is a bit small but over all okay book for the price.</span>",Smaller than expected font,/gp/profile/amzn1.account.AFX24KHG3F7IWCO67FVDUAP4GQNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Karen Hunter,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,<span>I bought this book because my adult daughter mentioned it was her favorite book as a kid and I wanted to surprise her with a memory of her childhood.  Now she can share it with her nephew. Thank you for allowing me to pass on the memories.</span>,The very hungry caterpillar,/gp/profile/amzn1.account.AEVFFK3GCCT4PK7PLQUCJR2VMVPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Ready2205,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_21?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,The Very Hungry Caterpillar,5.0 out of 5 stars,"<span>I loved this book as a child and was thrilled to find it offered as a board book for the littler ones who I think would enjoy it, but might destroy thin paper pages. A classic.</span>",favorite book in an age-appropriate form,/gp/profile/amzn1.account.AGLRKPIC6HWRPKJMBQEUQMAMZCNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
